"","product_name","fat_100g","saturatedFat_100g","carbohydrates_100g","sugars_100g","fiber_100g","proteins_100g","sodium_100g"
"1","'Prodhead'sriracha Chilli Sauce",1.6,0.3,14,14,1.6,2.4,1.88976377952756
"9","(Ground Shrimp)",3.89,1.61,3.57,2.39,1,66.46,1.797
"11",", Recette de Provence Rouillle pot de",45.9,4.8,6.7,4.6,0,2.2,0.905511811023622
"13","@ EasAsian Blend Seasoned Vegetables",1.61,0,7.53,3.23,2.2,2.15,0.28
"14","@ EasBacon Cheeseburger Sandwich",17.27,5.76,27.34,5.04,0.7,13.67,0.633
"15","@ EasBreaded Chicken Sandwich",9.43,1.26,32.7,4.4,0.6,11.32,0.447
"22","@ EasOatmeal BowBrown Sugar",3.96,1.98,18.94,7.93,2.2,3.08,0.128
"24","@ EasSweet Corn With Butter Sauce",1.47,0,19.61,4.9,2,2.94,0.167
"29","[n. a!] Nature Addicts Frucht Snack Himbeere",0.5,0,69,69,6.7,1.4,0.0393700787401575
"30","`Gravenstein Apple Juice",0,0,12.5,10,0.4,0,0
"32","+Proteínas",0.4,0.1,4.5,4.5,0,7.1,0.0984251968503937
"35","0% Fat Greek YogurBlueberry",0,0,12.67,11.33,0,7.33,0.033
"38","0% Milkfat Non-Fat Drinkable YogurRaspberry",0,0,9.17,7.08,0,3.33,0.046
"39","0% Milkfat Non-Fat Drinkable YogurVanilla",0,0,8.33,6.25,0,3.33,0.05
"42","0% Milkfat Strained Non-Fat YogurPeach",0,0,8,7.33,0,9.33,0.037
"45","0% Milkfat Strained Non-Fat YogurStrawberry",0,0,8.67,7.33,0,9.33,0.037
"46","0% Milkfat Strained Non-Fat YogurVanilla",0,0,7.49,6.17,0,9.25,0.04
"47","0% Nonfat Greek Yogurt With Fruit",0,0,12.67,10.67,0,8,0.03
"49","0,5L Jus De Carotte Bio Tetra",0.5,0.1,6.2,6.2,1,0.6,0.0708661417322835
"56","1 % Lowfat Milk",1.04,0.62,7.22,7.08333333333333,0,3.88666666666667,0.0646666666666667
"61","1 / 2Champ.Ent.1Er Choix Bf,",0.4,0,0.5,0,2.1,2.2,0.275590551181102
"62","1 / 5 Filet De Truite Huile Olive+amandes Connetable",14,2.1,0,0,0,21,0.393700787401575
"64","1 British Beef Rump Steak",10,4.2,0,0,0,20.3,0.0787
"65","1 Clean Protein Bar",11.67,4.17,36.67,1.67,28.3,35,0.3
"66","1 Papillote de Cabillaud",3.2,0.8,6.6,3,2.3,6.7,0.0905511811023622
"67","1 Papillote Merlu blanc Saint-Jacques",6.3,0.9,1.9,1.6,2.2,6.5,0.165354330708661
"68","1 papillotte Egleficourgette grilléet tomate cerisau pesto surgelés",5.1,0.9,2.3,1.8,1.5,6.9,0.18503937007874
"69","1 WowLollipop Bouquet",0,0,100,69.23,0,0,0
"74","1% Low Fat MilChocolate",1.04,0.62,9.58,9.17,0,3.33,0.088
"75","1% Low Fat Milk",1.05111111111111,0.622777777777778,6.23333333333333,5.97555555555556,0.0222222222222222,3.735,0.0589444444444444
"78","1% Lowfat Chocolate MilChocolate",1.04,0.62,10,9.17,0,3.33,0.083
"79","1% Lowfat Chocolate Milk",1.082,0.662,11.83,11.25,0.16,3.664,0.0874
"80","1% Lowfat Cottage Cheese",0.88,0.88,4.42,4.42,0,11.5,0.442
"81","1% Lowfat Cow Milk",1.04,0.62,5.42,5,0,3.33,0.054
"85","1% Lowfat Milk",1.054,0.645333333333333,6.234,5.95466666666667,0.0533333333333333,3.46133333333333,0.0556
"87","1% Lowfat Mlk",1.04,0.62,4.58,4.58,0,3.33,0.05
"89","1% Milk Fat Low Fat Milk",1.04,0.62,5.42,5,0,3.75,0.054
"91","1% Milk Fat Lowfat Yogurt",0.88,0.59,17.65,15.29,0,3.53,0.047
