"","product_name","fat_100g","saturatedFat_100g","carbohydrates_100g","sugars_100g","fiber_100g","proteins_100g","sodium_100g"
"12",": Petits pois carottes très fins",0.6,0.1,8.1,3.4,5.2,3.4,0.240157480314961
"54","1-2-3 Bouillon de légumes déshydraté",0.5,0.1,0.6,0.5,0.5,0.5,0.346456692913386
"55","1 % Low Fat Milk",1.04,0.62,5.42,5,0,3.33,0.054
"59","1 / 2 Pulpe Tomates Bio Cirio",0.2,0.1,4.4,3.4,0.8,1.1,0.00511811023622047
"73","1% Low Fat Chocolate Milk",1.04,0.69,10.97,10.28,0.133333333333333,3.47,0.0943333333333333
"88","1% Milk",1.06,0.64,5.51,5.08,0,3.39,0.055
"95","1% Milkfat Lowfat Cottage Cheese",1.3,0.87,5.22,3.48,0,12.17,0.417
"98","1% Organic Chocolate Lowfat MilChocolate",1.04,0.62,10,9.17,0.4,3.33,0.083
"101","1,2,",14.29,7.14,75,21.43,0,7.14,0.286
"103","1.5% Milkfat Buttermilk",1.46,1.04,5.42,5,0,3.33,0.142
"113","10-Grain Pancake Mix",1.72,0.86,60.34,5.17,6.9,13.79,1.086
"117","10 Beignets de Volaille",12,2.7,16,2.1,1.6,11,0.590551181102362
"120","10 Brioches Rolls",10,7,54,12,1.5,9,0.448818897637795
"127","10 cordons bleus",13,5,19,3,2,12.5,0.511811023622047
"131","10 crêpes sucrées saveur vanille",6.5,1.8,34.6,13.2,1.7,5.8,0.220472440944882
"175","10 Pancakes nature et moelleux",16.1,1.7,46.3,28.3,0,5.7,0.578740157480315
"188","10 steaks hachés 100% pur boeuf 15% MG",15,7,0,0,0,19,0.07
"193","100-Calorie Greek Yogurt",0,0,10,4.67,3.3,8,0.045
"194","100 %",10,6.95,14,0.9,40.6,20.4,0.0393700787401575
"220","100 % pur jus de pamplemousse vert",0.2,0.1,11.2,9.8,0.5,0.6,0.0014
"223","100 % pur jus orange",0.1,0,10.2,10,0.2,0.6,0.01
"231","100 % Pur Jus Pamplemousse blanc",0.1,0.1,10,8.5,0.1,0.1,0.00393700787401575
"240","100 % Pur Jus Pomme (Pur Fruit Pressé)",0.1,0,10.5,10.5,0,0.1,0.0118110236220472
"241","100 % pur jus pomme framboise",0,0,12,11,0.5,0.1,0
"268","100% All Natural Porcini Mushroom Chicken",3.18,0.71,10.95,0,3.2,4.59,0.212
"278","100% Cacao Boissons et Pâtisseries",21,13,12,1.9,30,19,0.0196850393700787
"282","100% Coconut Water",0,0,5.06,3.99,0,0.133333333333333,0.0193333333333333
"284","100% Corn Pasta Fusilli",0.89,0,80.36,1.79,0,5.36,0
"304","100% Fruit Juice And Puree",0.21,0,9.09,8.25,0.8,0.42,0.001
"312","100% Fruits Mangue",0,0,11,11,0,0,0
"325","100% Issu des Fruits - Spécialité De Figue Cuit au Chaudron",0.5,0.1,31,30,2.1,1,0.0196850393700787
"331","100% Juice",0,0,14.7972727272727,12.2172727272727,0.436363636363636,0.544545454545455,0.0375454545454545
"345","100% Juice Smoothie",0,0,12.22,10.89,0.4,0.44,0.011
"353","100% JuicGrape",0,0,14.585,14.375,0,0.21,0.0095
"388","100% Mie Nature",4.1,0.3,47.7,6.4,2.15,7.15,0.395669291338583
"391","100% mie nature sans croûte (offre économique)",3.9,0.3,48.3,6,2,7.5,0.393700787401575
"408","100% Natural Gourmet Fruit Bar",0,0,18.64,18.64,0.8,0,0.003
"430","100% Natural Tomato Sauce",0,0,7.10666666666667,3.28,1.6,1.09333333333333,0.448
"434","100% naturali Star classico",3.5,0.6,32.4,11,0.5,12.4,17.5
"435","100% Orange Juice",0,0,11.11,9.44666666666667,0,0.83,0.004
"437","100% Orange JuicOrange",0,0,11.33,9.33,0,0.89,0.007
"454","100% Organic Black-Eyed Peas",1.15,0,17.69,0.77,7.7,7.69,0.262
"455","100% Organic Bread Flour",0,0,73.33,0,3.3,13.33,0
"473","100% Organic Tomato Juice",0,0,4.17,2.92,0.8,0.83,0.162
"477","100% Organic Whole Wheat Flour",1.56,0,68.75,0,12.5,12.5,0
"481","100% our jus raisins rouges du languedoc",0,0,16,16,0,0,0.0118110236220472
"483","100% Parmesan & Romano Grated Cheese",30,20,0,0,0,40,2.4
"497","100% Pur Jus 4 agrumes",0.5,0,10.2,9.2,0.6,0.6,0.0118110236220472
"499","100% pur jus Ananas",0.3,0,12.2,11.55,0.45,0.55,0.00688976377952754
"501","100% Pur Jus Carotte",0.1,0.1,7.5,7.3,0.2,0.5,0.05
"506","100% pur jus Cocktail d'Agrumes",0.1,0,10.4,10.3,0.1,0.6,0
"510","100% pur jus d'Orange",0.5,0.1,10,10,0.5,0.7,0.00393700787401575
"528","100% pur jus de pomme",0.05,0.01,10.65,10.4,0.1,0.05,0.000984251968503935
"552","100% pur jus pasteurisé de clémentines pressées",0.1,0,12,12,0.5,0.6,0
"553","100% pur jus pasteurisé de Clémentines pressées Andros",0.1,0,12,12,0.5,0.6,0
"563","100% pur jus raisin blanc muscaté",0,0,16,16,0,0.5,0.0078740157480315
"569","100% Pur Jus Vitamines A&C",0,0,9.7,9.2,0,0.5,0
"600","100% Pure Pasteurized Orange Juice",0,0,10.83,9.17,0,0.83,0
"605","100% Pure Pumpkin",0.136666666666667,0,8.57333333333333,3.31333333333333,3.03333333333333,1.66,0.004
"610","100% Quick Oats",6.25,1.25,67.5,2.5,10,12.5,0
"616","100% Semolina Macaroni ProducSpirals 38",1.79,0,75,1.79,3.6,12.5,0
"620","100% Stone Ground Buckwheat Flour",3.33,0,73.33,0,10,6.67,0
"639","100% Whey Gold Standard Double Rich Chocolate Flavour",3.8,2.3,5.8,3.9,1.9,78.5,0.244
"656","100% Whole Grain Quick Cooking Bulgur Wheat",1.25,0,75,0,17.5,12.5,0.012
"683","100% Whole Wheat Spaghetti Macaroni Product",1.79,0,71.43,3.57,8.9,14.29,0
"714","12 briochettes moelleuses",10.4,1.6,53.6,11.8,1.9,7.6,0.464566929133858
"729","12 Cumberland pork chipolatas",20.1,7.1,3.8,0.5,0.7,17.1,0.582677165354331
"730","12 Dürüm",6.5,2.9,58.9,2.6,0,7.8,0.590551181102362
"735","12 escargots préparés recette à la Bourguignonne",30.4,18.9,1.7,0.3,1.6,10,0.397637795275591
"737","12 Flavor Mini Gummi Worms",0,0,70,45,0,5,0.062
"744","12 Grain Whole Wheat Bread",5.56,0,46.67,6.67,6.7,11.11,0.3
"746","12 Knodel Bayrisch",0,0,75,0,7.1,3.57,1.107
"781","12 Pains au lait au levain",11,5.1,55.2,18.9,0,8.4,0.444881889763779
"800","12 Taco Shells",23.42,7.73333333333333,64.3,0,4.1,5.11333333333333,0.00533333333333333
"829","14 Gaufrettes saveur Cacao",26,16,63.5,39,2.2,5.4,0.169
"860","150 Calorie PastPenne",1.79,0,75,3.57,23.2,10.71,0.071
"862","150 Calories Penne Rigate",1.79,0,73.21,1.79,23.2,12.5,0.098
"867","16-1 Link-Apple And Cinnamon Breakfast Sausage",19.05,7.14,7.14,3.57,0,15.48,0.798
"870","16 Bean Soup Mix",0,0,7.89,2.63,34.2,21.05,0.211
"875","16 galettes au Beurre",14,8.5,75,26,1.5,5.5,0.46
"877","16 Mignardises Création",22.8,14.2,34.4,23.4,2.8,4.7,0.0748031496062992
"911","18 Rabbits JrJr. Organic Granola CereaChocolatBanana",20.69,10.34,65.52,17.24,10.3,10.34,0
"919","180 SnackPistachio Trail Mix Crunch",42.86,5.36,35.71,17.86,7.1,17.86,0.161
"924","185G Portion 1 / 8 Port Salut",27,18,0.5,0,0,21,0.62992125984252
"926","1898 Choucroute RoyalAu Riesling",8,3.5,1,0.2,0,5.6,0.433070866141732
"927","19 Grains Bread",3.49,0,41.86,6.98,2.3,9.3,0.395
"928","1952 red beans",0.3,0,8.3,0.3,6.5,6.1,0.346456692913386
"931","1KG Orecchiette Chef Barilla",2,0.5,70.2,3.5,3,13.5,0.00511811023622047
"947","2 beignets de dos de cabillaud",7.7,0.8,7.1,1.3,1,14.5,0.339
"964","2 Cassolettes aux noix de Saint-Jacques",6.4,4.2,3.9,2.1,0.3,5.6,0.299212598425197
"975","2 Coquilles aux noix de Saint-Jacques* et saumon (Fondue de poireausauce citronnéeSurgelées",8.9,5.7,3.4,1.6,0.6,10.7,0.263779527559055
"994","2 Croustillants Chocolat et Noisettes",30.3,11.7,35.5,21.3,4.4,7.9,0.0393700787401575
"999","2 demi-baguettes de campagne précuites",0.5,0,50,2,3.5,9,0.551
"1057","2 Galettes Petites Gambas à la Bretonne",4.3,2.3,13,1.5,1.2,6.5,0.318897637795276
"1068","2 Gourmet Filets Au Citron Findus",9.3,4.9,0.4,0.1,0,15.1,0.15
"1071","2 Herb and Garlic Fillets",9.2,1.3,11.9,1.1,6.7,11.4,0.375
"1076","2 Kebabs",4.2,0.9,22.6,2.7,1.5,10.2,0.263779527559055
"1098","2 Panés De Colin D'alaska,",8.8,0.7,18.5,0.8,0.8,11.4,0.244094488188976
"1099","2 panés de poulet original",13,1.5,22,0.7,0.9,15,0.381889763779528
"1122","2 Pork Ribeye Steaks",21.2,8.4,0.2,0.2,0,26.7,0.0394
"1147","2 steaks hachés saumon",18.8,2.6,3,1,1.8,17.6,0.32
"1159","2 Tartines Jambon Fromage Tomates",11,3.7,30,3.4,2,10,0.511811023622047
"1162","2 thin & crispy pizza bases",7.8,0.6,49.9,2.1,2.1,9.7,0.276
"1177","2% Low-Fat Yogurt",2.08,1.46,7.92,7.08,0,3.33,0.046
"1189","2% Milkfat Greek Lowfat YogurBlueberry",1.67,1,14,12.67,0.7,6.67,0.053
"1208","2& Reduced Fat Milk",2.12,1.27,5.08,5.08,0,3.39,0.055
"1244","200G Tzatziki Grand Jury",15,1.3,2.3,2.1,1.6,6.1,0.389763779527559
"1263","24 Grains & Seeds Bread",7.78,0,42.22,8.89,7.8,11.11,0.378
"1266","24 Moules FarcieBoîte De 250 Grammes",33.2,19.1,5.4,1.9,0.5,8.3,0.417322834645669
"1268","24 petits beurre",9.6,5.7,75.9,24.6,3.1,7.4,0.433070866141732
"1281","250G Graines De Courge",45.2,8.8,1.2,1.2,6.4,36.4,0.015748031496063
"1282","250G Graines De Tournesol Decortiquees",51.5,4.5,11.4,2.6,8.6,20.8,0.0118110236220472
"1292","263G Fajita Kit PR 2 Old El Pay",3.5,0.8,38.3,6.1,1.9,6.5,0.905511811023622
"1296","280 recette Originale",13,6.1,18,2.1,1.1,14,0.433070866141732
"1313","2X25CL Blediner Lait Epinard Bledina",2.5,1.2,11.4,5,0.16,2.1,0.0393700787401575
"1334","3 Cheese Ravioli",8.77,4.39,37.72,0,0,16.67,0.649
"1342","3 escalopes de Dinde",0.78,0.21,0.41,0.1,0.4,25,0.073
"1358","3 Organic Baby Food",3.54,0.44,15.04,3.54,2.6,2.65,0
"1375","30 Mini-feuilletés apéritifs - surgelés 405 g",18.9,10,27.1,1.4,0.7,6,0.4
"1378","30 Minute Marinade",0,0,12.5,6.25,0,0,1.438
"1397","35 Calorie Whole Grain Bread",2.13,0,40.43,2.13,14.9,10.64,0.404
"1404","36 Biscottes complètes",5.8,0.6,65,4.9,11,12,0.511811023622047
"1412","365 Everyday ValuOrganic FusillMacaroni Product",1.79,0,75,3.57,3.6,10.71,0
"1415","365everyday ValuAmondRoasted & Salted",57.14,3.57,17.86,3.57,10.7,21.43,0.339
"1423","3D's",32,2.4,55,3.5,2.1,6,1.16929133858268
"1426","3D's BugleGoût Cacahuète (Lot de 2)",38,4,48,4,3,8.5,0.688976377952756
"1439","3D bugles goût chèvre",32,2.5,56,6,2,6,1.0511811023622
"1450","3min Spicy Curry",2.11,0.53,10.53,3.16,2.1,1.58,0.432
"1451","3pk Jumbo Lemon Fritters",17.7,7.96,46.02,20.35,1.8,4.42,0.301
"1477","4 Blinis Gourmands",10.8,0.95,30.6,2.405,1.7,5.3,0.438976377952756
"1485","4 brochettes de saumon Atlantiqucolin lieu et ananas",9.3,1.4,1.9,1.9,0.5,16.2,0.192913385826772
"1488","4 Buns",7.6,0.9,55,5.3,2.9,7.5,0.433070866141732
"1492","4 cereales bio",3,0.5,76,1.5,6.6,9.5,0.0984251968503937
"1526","4 crêpes de froment",4.2,1.9,46.1,19.8,1.3,7.4,0.169291338582677
"1558","4 Galettes au Son d'Avoine Cranberries",1.7,0.3,29.2,10.7,5,6.5,0.196850393700787
"1566","4 Gaufres de Bruxelles congelées",16.9,1.4,32.6,27.3,2.1,5.8,0.0944881889763779
"1572","4 Greek Style Yogurts with honey",8,5.5,15.2,13.9,0,3.6,0.0394
"1583","4 Knacks",26,9.7,0.6,0.6,0,13,0.905511811023622
"1592","4 Milk Chocolate Shakes",1.54,0.31,7.08,2.77,1.5,3.69,0.071
"1602","4 mini gratins pomme de terre et foie gras",8.9,4.2,11.2,1.9,2.1,3.5,0.393700787401575
"1647","4 paupiettes de veau façon bouchère",9,4,2,0.5,2.7,18,0.433070866141732
